voyage_id,vessel_name,flag,place_of_slave_purchase,place_of_slave_disembarkation,total_embarked,total_disembarked,year_of_arrival,percent_men,percent_women,percent_children,captain's_name,resistance_label,sources
16011,Expectation,Great Britain,"Africa., port unspecified","Virginia, port unspecified",237,190,1701,,,,"Levercombe, William",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/175,180<><p><em>British National Archive</em> (Kew) Treasury</p>', u'LL,150<><i>House of Lords Record Office</i> (London, UK) Lloyds\u2019 Lists, 1702-04', u'T70/351,68<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Walsh Virginia Database<>Walsh, Lorena, Database of slave trading voyages to Virginia', u'Minch,6-7<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16013,Anne,Great Britain,"Africa., port unspecified",York River,72,64,1703,,,,"Howard, Humphry",,"[u'T70/14,5<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/175,179<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,12-13<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'T70/353,45<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Walsh Virginia Database<>Walsh, Lorena, Database of slave trading voyages to Virginia']"
16016,African Gally,Great Britain,"Africa., port unspecified","Virginia, port unspecified",245,196,1706,,,,"Bond, Francis<br/> Saunders",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,17<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'T70/175,179<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/354,48<><p><em>British National Archive</em> (Kew) Treasury</p>']"
16017,Wakeing Lyon,Great Britain,Calabar,"Virginia, port unspecified",203,154,1706,,,,"Winter, Arnold",,"[u'T70/8,18<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/175,179<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,17<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'T70/354,48<><p><em>British National Archive</em> (Kew) Treasury</p>']"
16032,Queen Anne Gally,Great Britain,"Africa., port unspecified","Virginia, port unspecified",112,90,1707,,,,"Blake, John",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/354,86,119,123<><p><em>British National Archive</em> (Kew) Treasury</p>']"
16033,Stonedge Gally,Great Britain,Calabar,"Virginia, port unspecified",208,158,1707,,,,"Levercomb, William",,"[u'T70/8,33<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/175,180<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,19<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'T70/354,86<><p><em>British National Archive</em> (Kew) Treasury</p>']"
16052,Leopard Gally,Great Britain,Calabar,Rappahannock,265,201,1710,,,,"Owen, John",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,19<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'T70/5,46<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/8,55<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/356,loose sheet<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/355,49<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Walsh Virginia Database<>Walsh, Lorena, Database of slave trading voyages to Virginia']"
16083,Union Sloop,Great Britain,"Gold Coast, port unspecified",Charleston,131,113,1711,,,,"Toms, John",,"[u'T70/5,78<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/356,25<><p><em>British National Archive</em> (Kew) Treasury</p>']"
16101,Anna and Sarah,Great Britain,"Africa., port unspecified",York River,237,190,1714,,,,"Lone, Arthur",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,41<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16110,Greyhound Gally,Great Britain,"Africa., port unspecified",York River,237,190,1715,,,,"Selkirk, Alexander<br/> Forrest, Henry",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,41<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16116,Morning Star,Great Britain,"Africa., port unspecified",Charleston,237,190,1713,,,,"Poole, Nicholas",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>']"
16159,Charfield,Great Britain,Gambia,Rappahannock,176,156,1717,,,,"Roberts, William",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,37<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'DC,11.11.1717<><i>Daily Courant (London)</i>', u'PM,14.11.1717<><i>Post Man</i>']"
16172,Rebecca,Great Britain,"Africa., port unspecified",York River,169,135,1716,,,,"Reece, David",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,43<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16179,Berkley Gally,Great Britain,New Calabar,York River,188,143,1718,,,,"Pitts, Francis",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,43<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'PM,24.07.1718<><i>Post Man</i>', u'PM,16.10.1718<><i>Post Man</i>']"
16184,Henry,Great Britain,"Africa., port unspecified",Rappahannock,157,126,1718,,,,"Harper, James<br/> Smith, Henry",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,37<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16190,Nightingale,Great Britain,"Africa., port unspecified",Lower James River,237,190,1718,,,,"Merrett, Joseph<br/> Worsdale, Nic",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'PM,24.07.1718<><i>Post Man</i>', u'PM, 07.10.1718<><i>Post Man</i>', u'Walsh Virginia Database<>Walsh, Lorena, Database of slave trading voyages to Virginia', u'Minch,30-31<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16191,Parnel Gally,Great Britain,Calabar,York River,276,209,1718,,,,"Metherby, Robert<br/> Morris, John",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,45<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'PM,31.07.1718<><i>Post Man</i>']"
16193,Peterborough,Great Britain,Calabar,York River,276,209,1718,,,,"Edwards, James",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,45<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).', u'PM,28.06.1718<><i>Post Man</i>', u'PM,15.11.1718<><i>Post Man</i>']"
16194,Princess Carolina,Great Britain,"Africa., port unspecified",Charleston,107,86,1718,,,,"Bedford, John",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'PM,15.11.1718<><i>Post Man</i>']"
16198,Rumsey,Great Britain,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River,166,126,1718,,,,"Porter, Charles<br/> Eustace, John",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,42-43<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16205,Africa,Great Britain,"Africa., port unspecified",York River,95,84,1719,,,,"Griffiths, Samuel",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'PB,06.08.1719<><i>Post Boy</i>', u'PB,14.10.1719<><i>Post Boy</i>', u'DP,06.08,1719<><i>Daily Post</i>']"
16207,Anna and Sarah,Great Britain,Calabar,York River,209,159,1719,,,,"Harris, John<br/> Brittan, William",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'PB,06.08.1719<><i>Post Boy</i>', u'PB,05.11.1719<><i>Post Boy</i>', u'PB,01.11.1719<><i>Post Boy</i>', u'DP,06.08.1719<><i>Daily Post</i>']"
16208,Bensworth,Great Britain,Gambia,Rappahannock,56,50,1718,,,,"Gardner, Nicholas",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,39<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16209,Berkley Gally,Great Britain,Calabar,York River,244,185,1719,,,,"Pitts, Francis",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'PB,14.10.1719<><i>Post Boy</i>', u'Minch,46-47<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16212,Charfield,Great Britain,Gambia,Rappahannock,86,76,1718,,,,"Reymer, Robert",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,38-39<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16217,Greyhound Gally,Great Britain,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River,240,182,1718,,,,"Forrest, Henry",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,44-45<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
16218,Greyhound,Great Britain,Calabar,York River,224,170,1719,,,,"Forrest, Henry",,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'Minch,46-47<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
